area_m2,valor_mil_rs,condominio_rs,iptu_mil_rs
74.91,682.15,731.99,5.99
31.20,287.40,58.08,8.66
60.11,548.32,20.58,9.69
83.24,757.11,181.82,1.83
30.42,280.55,431.95,2.91
61.19,558.74,292.14,3.66
45.61,416.28,950.72,7.32
73.20,666.05,156.02,1.56
58.08,527.93,601.12,7.08
20.58,190.47,832.44,2.12
18.18,169.82,304.24,5.25
43.19,392.76,611.85,1.39
29.21,268.91,456.07,3.75
95.07,863.84,424.76,5.26
59.87,543.18,612.33,2.34
15.60,145.11,374.54,4.56
86.62,786.93,598.66,6.11
70.81,644.32,708.07,1.95
96.99,881.56,969.91,8.32
21.23,196.34,212.34,2.18
18.34,171.05,183.40,1.52
52.48,476.11,524.76,3.04
13.95,128.74,291.23,4.32
36.64,333.62,139.49,6.12
45.62,417.05,366.36,2.92
