horario,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
6 - 7,134,114,127,155,203,216,208,243,211,219,220,177
7 - 8,245,238,259,269,337,366,387,431,373,335,326,266
8 - 9,324,327,337,317,388,445,475,524,484,458,442,368
9 - 10,399,396,399,350,439,487,535,595,583,582,531,468
10 - 11,472,441,431,401,482,503,558,651,661,661,638,569
11 - 12,534,476,447,433,506,509,581,690,722,728,700,631
12 - 13,556,501,474,453,519,516,591,736,763,765,734,649
13 - 14,555,503,480,451,528,530,613,737,745,746,721,647
14 - 15,507,463,445,417,498,523,584,684,674,680,666,583
15 - 16,422,387,374,359,425,459,507,588,564,561,556,481
16 - 17,310,282,277,259,285,316,364,424,371,355,358,331
17 - 18,93,95,74,48,20,42,71,84,41,20,25,64
